Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop on,,,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
9a,29/11/2013,16:26,51.192,55.386,5,6,106.577,4.194,255.959,332.313,,3,,,10.381,10.618,10.023,10.177,9.993,,,11.537,10.344,11.013,10.497,11.994,,14.516,11.407,16.136,10.578,,Stroop off run 1 components,1.024,1.088,.879,1.183,1.152,1.073,1.023,.993,.927,1.040,Stroop off run 2 components,.893,1.024,.943,1.056,1.087,1.137,.990,1.087,1.184,1.216,Stroop off run 3 components,.954,1.023,.897,.879,1.008,.927,.992,1.088,1.040,1.216,Stroop off run 4 components,.916,1.008,.944,.975,1.136,.991,1.296,.848,.992,1.071,Stroop off run 5 components,.908,.991,.848,.831,1.088,1.233,.783,.959,1.280,1.071,,Stroop on run 1 components,.933,1.151,1.104,1.295,.816,1.504,1.056,1.167,1.568,.944,Stroop on run 2 components,.875,1.072,1.151,.976,.912,1.263,1.040,1.056,.927,1.072,Stroop on run 3 components,1.033,1.023,.912,.992,1.279,.896,.961,1.423,1.519,.976,Stroop on run 4 components,1.012,.816,1.120,1.008,.975,1.119,1.199,1.088,1.088,1.071,Stroop on run 5 components,1.565,1.232,1.151,1.430,1.033,1.136,1.168,1.104,.928,1.248,,.000,,,3.454
