Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop on,,,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
14b,03/12/2013,12:29,69.021,84.114,5,7,153.134,15.093,345.104,588.795,,1 6,,,14.179,11.961,12.443,13.789,16.648,,,22.419,16.874,17.545,13.980,13.296,,17.229,12.642,18.616,18.610,,Stroop off run 1 components,1.399,1.552,1.391,1.376,1.520,1.135,1.039,1.775,1.280,1.712,Stroop off run 2 components,1.151,1.021,1.392,1.232,.959,1.824,.927,.720,1.024,1.711,Stroop off run 3 components,1.487,1.248,1.058,2.252,.912,1.535,1.104,.992,.863,.992,Stroop off run 4 components,1.185,1.807,1.600,1.295,1.200,.864,1.185,1.838,1.359,1.456,Stroop off run 5 components,2.312,1.088,1.312,1.055,1.663,1.743,2.644,1.488,1.391,1.951,,Stroop on run 1 components,2.303,2.803,3.913,1.407,1.296,1.328,1.391,2.430,3.302,2.247,Stroop on run 2 components,1.709,3.523,2.746,1.264,1.056,1.344,1.295,.991,1.328,1.617,Stroop on run 3 components,2.547,1.872,1.200,1.439,2.295,1.808,1.200,1.183,1.231,2.770,Stroop on run 4 components,1.633,1.823,1.392,1.535,1.391,1.312,1.807,1.039,1.071,.976,Stroop on run 5 components,1.747,1.727,1.344,1.040,1.423,1.520,1.184,1.167,1.024,1.120,,.000,,,4.334
