Subject ID,Date,Time,OffTime,OnTime,Total # of runs stroop off,Total # of runs stroop on,OffTime+OnTime,OnTime minus OffTime,Successful times X attempts (Off),Successful times X attempts (On),,Order of incorrect stroop on,,,Stroop off 1 time,Stroop off 2 time,Stroop off 3 time,Stroop off 4 time,Stroop off 5 time,,,Stroop on 1 time,Stroop on 2 time,Stroop on 3 time,Stroop on 4 time,Stroop on 5 time,,Practice stroop off 1 time,Practice stroop off 2 time,Practice stroop on 1 time,Practice stroop on 2 time,,Stroop off run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop off run 5 components,1,2,3,4,5,6,7,8,9,10,,Stroop on run 1 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 2 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 3 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 4 components,1,2,3,4,5,6,7,8,9,10,Stroop on run 5 components,1,2,3,4,5,6,7,8,9,10,,Incorrect runs total time (stroop off),,,Incorrect runs total time (stroop on)
7a,28/11/2013,19:11,63.187,68.235,5,6,131.422,5.048,315.937,409.410,,3,,,12.397,13.218,12.440,12.484,12.648,,,13.944,13.651,12.622,12.852,15.167,,13.045,13.461,14.732,14.306,,Stroop off run 1 components,1.217,1.040,1.056,1.151,1.327,.992,1.280,1.663,1.120,1.551,Stroop off run 2 components,1.159,.959,1.073,1.310,1.727,1.535,1.903,1.407,1.072,1.071,Stroop off run 3 components,1.101,1.439,1.103,1.088,1.359,1.248,1.343,1.105,1.327,1.327,Stroop off run 4 components,1.161,.894,1.152,1.312,1.215,1.248,1.407,1.312,1.455,1.328,Stroop off run 5 components,1.371,1.168,1.279,1.120,1.295,1.008,1.616,1.136,1.423,1.231,,Stroop on run 1 components,1.164,1.279,1.184,1.440,1.247,1.120,1.312,1.791,1.664,1.743,Stroop on run 2 components,1.158,1.264,1.647,1.120,1.183,1.200,1.584,1.520,1.536,1.440,Stroop on run 3 components,1.617,1.216,1.023,1.087,1.295,1.280,1.184,1.439,1.296,1.183,Stroop on run 4 components,1.319,.992,1.023,1.792,1.039,1.296,1.168,1.599,1.520,1.104,Stroop on run 5 components,1.570,1.376,1.134,1.120,1.888,1.807,1.423,1.424,2.112,1.312,,.000,,,13.054
